title,author,description,link,platform(s),pg,example_download_link
Pixel Art Infinite Runner - Pack,edermunizz,Make a Infinite Runner Game!,https://edermunizz.itch.io/infinite-runner,,4,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=4
Wave to the People,Sergio Cornaga,Wave to the people! Blow them kisses!,https://sergiocornaga.itch.io/wave-to-the-people,Windows,4,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=4
A Kishoutenketsu in the countryside,Rémi Töötätä,"Explore the outdoors, face four puzzles and live great adventures.",https://remi-tootata.itch.io/a-kishoutenketsu-in-the-countryside,"Windows, Linux, macOS",4,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=4
StarFighter R&D HD Edition,Gord Games,Research - Design - Test,https://gordgames.itch.io/starfighter,"Windows, Linux, macOS",4,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=4
Satellite Repairman,Bit Outside the Box,A great war has began... but you have nothing to do with it,https://nunodonato.itch.io/satellite-repairman,"Windows, Linux, macOS",4,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=4
Zone of Lacryma,oophok,A story driven vertical shmup.,https://oophok.itch.io/zoneoflacryma,Windows,4,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=4
A Mortician's Tale,Laundry Bear Games,A death-positive game where you play as a mortician tasked with running a funeral home,https://laundrybear.itch.io/morticians-tale/download/Lw_67XjY4ZCSMc6arqTV_Z9xvfpngERBnNkt_fUf,"Windows, macOS",4,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=4
Oikospiel Book I,DK,A dog opera in five acts,https://dkoikos.itch.io/oikospiel,"Windows, macOS",4,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=4
Gataela,Atemly Games,"A Victorian Steampunk RPG! Debate, convince and negotiate with NPCs in order to save the country!",https://atemly-games.itch.io/gataela,Windows,5,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=5
Hyperspace Dogfights,sleeper_games,"Jet Combat Roguelite, Occasionally With Swords",https://sleeper-games.itch.io/hyperspace-dogfights,"Windows, Linux",5,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=5
Daemon Detective Gaiden II,Yal,"Jump, fight and explore together!",https://yaru.itch.io/daemon-detective-gaiden-2,Windows,5,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=5
Speed Farmers,Jelle,Game where you farm as fast as you can.,https://jxlle.itch.io/speed-farmers,Windows,5,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=5
A Snake's Tale,m12y,A puzzle game about snakes in cramped places,https://m12y.itch.io/a-snakes-tale,"Windows, Linux, macOS, Android",5,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=5
nullpointer,prophet goddess,first-person cyberpunk arcade action,https://prophetgoddess.itch.io/nullpointer,"Windows, Linux, macOS",5,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=5
Unfair Jousting Fair,Rodaja,"like jousting, but on unicycles",https://rodaja.itch.io/unfair-jousting-fair,Windows,5,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=5
"Dominique Pamplemousse and Dominique Pamplemousse in ""Combinatorial Explosion!""",Squinky,A disorienting interactive musical romp with your favourite genderqueer private detective(s).,https://squinky.itch.io/dompam2,"Windows, Linux, macOS",5,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=5
Mobility! Accessible precision platformer,Auroriax (Tom H.),"Jump, spin and flip to fix broken spaceships!",https://auroriax.itch.io/mobility,"Windows, Linux",5,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=5
ADLENGINE - Roleplay / Text Adventure Engine,liamtwose,No longer in development. Planning to open-source it!,https://liamtwose.itch.io/adlengine,"Windows, Linux, macOS",5,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=5
Drake,Gawain (DarkGriffin),"A small action platform game starring Drake, our fire breathing pixel hero.  Full game with all levels included!",https://darkgriffin.itch.io/drake,"Windows, Linux, macOS",5,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=5
Recording the Predestined Time,Amorphous,observations of intertwined lives,https://amorphous.itch.io/recording,"Windows, Linux, macOS",5,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=5
Make your Adventure,Lanyu EStudio,"Turn your idea into your video game, even without programing skills. Just Make, Share & Play",https://lanyu-estudio.itch.io/make-your-adventure,"Windows, Linux, macOS",5,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=5
Purple Noise Echo,ukioq,An ambient tactical game in which you play a silicon entity in a dark and abstract universe made of hexagonal tiles.,https://ukioq.itch.io/purple-noise-echo,"Windows, macOS",5,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=5
Shoot Shoot Mega Pack,Actual Humans,"A minimalist party game about rules, friendship, and also shooting",https://actualhumans.itch.io/shoot-shoot-mega-pack,"Windows, macOS",5,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=5
Village Monsters,Josh Bossie,Escape to a carefree and colorful village where the monsters are your friends.,https://josh-bossie.itch.io/village-monsters,"Windows, Linux, macOS",5,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=5
Petty Puny Planet,Whales And Games,Why have a pet rock when you can have a pet planet? Micromanage this cosmic rock to places never thought possible!,https://whalesandgames.itch.io/petty-puny-planet,"Windows, Linux, macOS, Android",5,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=5
One-Eyed Lee: Prologue,DarkChibiShadow,"Learn Lee's origin story in this short, free game!",https://darkchibishadow.itch.io/one-eyed-lee-prologue,"Windows, Linux, macOS",5,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=5
POM SIMULATOR 9000,d Marie,"weary, transformation, dog, burger, comfort",https://dmarielicea.itch.io/pomsimulator9000,"Windows, Linux, macOS, Android",5,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=5
Atomic Heist,Live Aliens,Grab the atomic core and fight to escape…if you can.,https://tojabr.itch.io/atomic-heist,Windows,5,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=5
Bonbon,Aetheric Games,"A short horror story, about your childhood.",https://aethericgames.itch.io/bonbon,Windows,5,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=5
Parsnip,Bun & Birb,A hungry rabbit quests for cake,https://bunbirb.itch.io/parsnip,Windows,5,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=5
Word After Word,Jonah Warren,A fast-paced local multiplayer word game that rewards players for thinking naturally about common word usage.,https://playfulsystems.itch.io/word-after-word,"Windows, macOS",5,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=5
Fugue,Shawn Pierre,"Make music, chimes, and melodies in this musical puzzle game.",https://jimjastajay.itch.io/fugue,"Windows, Linux, macOS",5,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=5
Atchafalaya Arcade,Tambalaya,~Abstract Bayou Pixelscapes~,https://tambalaya.itch.io/atchafalaya-arcade,Windows,5,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=5
The Trolley,Nicholas O'Brien,,https://m3m3x.itch.io/the-trolley,"Windows, Linux, macOS",5,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=5
All You Can Eat,gamechuck,An interactive comic about a man who spends his entire life in a 24/7 diner,https://gamechuck.itch.io/allyoucaneat,Windows,5,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=5
Fortune-499,apthomson,,https://apthomson.itch.io/fortune-499/download/q7yNN5JDi1TQm2rd6ZieJ2LFl5rGsXOf3bPi3pc1,"Windows, macOS",5,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=5
2000:1: A Space Felony,National Insecurities,Murder mystery courtroom drama set on an interplanetary spacecraft.,https://nationalinsecurities.itch.io/2000to1-a-space-felony,Windows,5,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=5
Best Garden,Luke Parker,Can you make the Best Garden?!?,https://lparkermg.itch.io/best-garden,"Windows, Linux, macOS",5,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=5
Path Out,causacreations,Escape the war. Break the walls of silence.,https://causacreations.itch.io/path-out,"Windows, Linux, macOS",6,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=6
cityglitch,mindfungus,Solve turn-based puzzles on haunted city rooftops.,https://mindfungus.itch.io/cityglitch,"Windows, Linux, macOS",6,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=6
PADager,matsoj,Make a friend with your gamepad,https://matsoj.itch.io/padager,Windows,6,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=6
down.,Pixelbark,"A short, somber, narrative experience about depression and anxiety",https://pixelbark.itch.io/down,"Windows, Linux, macOS",6,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=6
Pet the Pup at the Party,Will Herring,you are at a house party. you do not know anybody. the clock is ticking... can you find the pup at the party??,https://grey2scale.itch.io/pet-the-pup,"Windows, Linux, macOS",6,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=6
Bad Government,Free Time Dev,Buy this product and instantly get access to the decision-making handheld device of the president.,https://freetimedev.itch.io/bad-government,"Windows, Linux, macOS",6,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=6
Rosette Diceless,Future Proof Games,"Consensus-based, story-focused, improvisational roleplaying",https://futureproofgames.itch.io/rosette-diceless,,6,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=6
Life: the game of chance,Tim Krief,"25 diferent life paths, choose carefully.",https://timkrief.itch.io/life-the-game-of-chance,,6,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=6
luminous corridor 0,loren schmidt,the psi crystals have been stolen. a pall of evil hangs over the realm.,https://lorenschmidt.itch.io/luminous-corridor-0,"Windows, Linux, macOS",6,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=6
Far from Noise,George Batchelor,A conversation on the edge of a cliff.,https://georgebatch.itch.io/far-from-noise,"Windows, macOS",6,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=6
no secrets,quasiotter,internal dialogue on 4 sept 2017,https://quasiotter.itch.io/no-secrets,,6,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=6
Sidewords,Milkbag Games,Grab a cup of coffee and relax with a good puzzle,https://milkbaggames.itch.io/sidewords,Windows,6,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=6
Sagebrush,Redact Games,Explore a cult compound in this narrative adventure game.,https://redactgames.itch.io/sagebrush,"Windows, macOS",6,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=6
Nepenthe,Yitz,You wake up with no memory. Your day is starting off great!,https://yitzilitt.itch.io/nepenthe,"Windows, Linux, macOS",6,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=6
Moonstone Deep,criacuervos,"Explore, make hard choices, fight!",https://criacuervos.itch.io/moonstone-deep,Windows,6,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=6
Benjamin of Blackstone Edge,criacuervos,"Exploration, stories, fights!",https://criacuervos.itch.io/benjamin-of-blackstone-edge,Windows,6,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=6
Kubyx,Kronbits,Minimal Super Meat Boy clone of one-screen levels,https://kronbits.itch.io/kubyx,"Windows, Linux, macOS",6,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=6
Just Shapes and Bits,s1lv3r dr4g0n,A SNES de-make of the indie game Just Shapes and Beats!,https://s1lv3r-dr4g0n.itch.io/just-shapes-and-bits,Windows,6,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=6
Legend of Hand,Cloak and Dagger Games,"An epic quest, inspired by point & click adventure classics, Far-East legends & beat em up games of the 80's!",https://shaun9991.itch.io/legend-of-hand,Windows,6,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=6
Splodey Vaders,Scared Square Games,An explosive twist on an arcade classic.,https://scared-square-games.itch.io/splodey-vaders,Windows,6,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=6
BIT RAT : Singularity,[bucket drum games],A hand-pixeled story-driven cyberpunk puzzler,https://bucketdrumgames.itch.io/bitrat,"Windows, Linux, macOS",6,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=6
What Isn't Saved (will be lost),catacalypto,,https://catacalypto.itch.io/what-isnt-saved-will-be-lost,"Windows, Linux, macOS",6,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=6
Gunhouse,Necrosoft Games,Load your guns! Rain death from above!,https://necrosoftgames.itch.io/gunhouse,"Windows, macOS, Android",6,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=6
Serre,insertdisc5,A visual novel about a girl and an alien drinking tea and falling in love!,https://insertdisc5.itch.io/serre,"Windows, macOS",6,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=6
Yi and the Thousand Moons,David Su,"A short video game musical consisting of several original interactive songs, featuring a full cast and live band.",https://usdivad.itch.io/yi-and-the-thousand-moons,"Windows, macOS",6,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=6
As We Know It,Jaime Scribbles Games,Post-Apocalyptic Visual Novel with Romance and Drama,https://scribbles.itch.io/as-we-know-it,"Windows, Linux, macOS",6,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=6
Heavy Bullets,Devolver Digital,Heavy Bullets is a randomized FPS dungeon crawler with limited but reusable ammunition.,https://devolverdigital.itch.io/heavybullets,"Windows, Linux, macOS",6,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=6
Pumpking,Sophie Houlden,"A difficult platform game, prove you are a Pumpking!",https://sophieh.itch.io/pumpking,"Windows, Linux, macOS",6,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=6
Tessa's Ark: Chapter 1,Neutron Dust,A Sci-Fi Puzzle/RPG game set in a future where human only exist in a mainframe,https://neutron-dust.itch.io/tessas-ark-early-access,Windows,6,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=6
MIDNIGHT ULTRA,Forward Instinct,"Blast your way through a neon-dripped, pixelated nightmare in this high-speed, high-thrills FPS set in the Southwest.",https://forwardinstinct.itch.io/midnight-ultra,"Windows, Linux, macOS",6,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=6
Turn-Based Champion,SearchlightGames,Local multiplayer rpg party game hybrid,https://searchlightgames.itch.io/turn-based-champion,"Windows, Linux, macOS",7,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=7
Deeper Into Space,Jeremy Roberts,"A 2D physics based space survival/shooter, with rogue-like elements",https://jeremy-roberts.itch.io/deeper-into-space,Windows,7,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=7
Asteroid Quest! (Classic),dooskington,"Mine asteroids, purchase upgrades, and be a space lad.",https://dooskington.itch.io/asteroid-quest-classic,"Windows, Linux, macOS",7,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=7
Season's Beatings,CodeAvarice,A fast and frantic one hit kill FPS! First person Hotline Miami?,https://codeavarice.itch.io/seasons-beatings,"Windows, Linux, macOS",7,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=7
The Adventures of Elena Temple: Definitive Edition,GrimTalin,Play the classic platformer you never knew existed!,https://grimtalin.itch.io/the-adventures-of-elena-temple,"Windows, macOS",7,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=7
Make It Last,Strawberry Dagger Studio,"They met. They loved. They lived.   ||   A ""Destiny Fails Us"" Side Story",https://sbds.itch.io/makeitlast,"Windows, Linux, macOS",7,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=7
Mon-cuties for All,Reine Works,"Starting a new chapter in your life, you move to a farm and enter the world of monster farming!",https://reineworks.itch.io/moncuties-for-all,"Windows, Linux, macOS",7,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=7
you used to be someone,Squinky,A solitary walk at night.,https://squinky.itch.io/yutbs,"Windows, Linux, macOS",7,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=7
EXTREME MEATPUNKS FOREVER,Heather Flowers,Gay disaster mech pilots killing fascists,https://hthr.itch.io/extreme-meatpunks-forever,"Windows, Linux, macOS",7,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=7
Hitboxes and Hurtboxes,Rat Casket,Learn how to setup hitboxes and hurtboxes in GameMaker Studio!,https://ratcasket.itch.io/hitboxes-and-hurtboxes,,7,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=7
The World Begins With You,Fabian Denter,An atmospheric puzzle-platformer-adventure.,https://fabiandenter.itch.io/the-world-begins-with-you,"Windows, macOS",7,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=7
Tape,ΛERIF°RM,Intimate project management designed for artists and designers,https://aeriform.itch.io/tape,"Windows, Linux, macOS",7,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=7
Long Lost Boys of Nowhereland,googumproduce,,https://googumproduce.itch.io/long-lost-boys-of-nowhereland,,7,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=7
Brathian,pangake,​A cool and cute game to fulfill your retro platformer needs. With a little bit of exploration too :),https://pangake.itch.io/brathian,Windows,7,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=7
Fossil Hunters,Reptoid Games,An action-adventure game about digging for fossils and building your own dinosaurs!,https://reptoidgames.itch.io/fossil-hunters,"Windows, macOS",7,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=7
KeyCars,Kenney,Press any key to join the battle!,https://kenney.itch.io/keycars,"Windows, Linux, macOS",7,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=7
Cycle 28,Pill Bug Interactive,A fast-paced space shooter with screen-shaking explosions and a mystery at its heart.,https://pillbuginteractive.itch.io/cycle-28,"Windows, Linux, macOS",7,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=7
Factory Hiro,Rad Zone,"You play as Hiro / He works at the factory / Work hard, Hiro-san!",https://radzone.itch.io/factory-hiro,"Windows, macOS",7,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=7
Task Force Kampas,ｃａｓｉｏｐｅａ,A classic shoot em' up on steroids.,https://casiopea.itch.io/taskforcekampas,Windows,7,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=7
Central Limit Theorem,Amicable Animal,An arcade shooter where enemies learn behaviours from those that went before • WebGL Demo • Win/Mac/Linux Versions,https://amicableanimal.itch.io/central-limit-theorem,"Windows, Linux, macOS",7,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=7
Real Winners: Victoryball,Pizza Curse,Local-Multiplayer Robot Soccer Fiasco,https://pizzacursestudios.itch.io/real-winners-victoryball,"Windows, macOS",7,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=7
HeroRun,CannibalInteractive,A pacifist arcade game where you can only run away.,https://cannibalinteractive.itch.io/herorun,,7,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=7
Death Game+,Fractured Mind,Be the first to die! Has a level editor,https://fracturedminddev.itch.io/death-gamepro,"Windows, Linux, macOS",7,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=7
In My Friend Carrie's Car,Violet Elder,An autobiographical text-based game about memory and a car ride.,https://violet-elder.itch.io/in-my-friend-carries-car,"Windows, macOS",7,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=7
This Title in no way Denotes the Quality of the Writing in the Short Stories Contained Herein: A Collective,avarisclari,Short Stories are the backbone of a novel. Each is a chapter waiting to be expanded on.,https://avarisclari.itch.io/stories,,7,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=7
Dead Friend: A Game of Necromancy,Lucian Kahn (@oh_theogony),"""Most Innovative"" nominee for the 2019 IGDN Indie Groundbreaker Awards!",https://necromancy.itch.io/dead-friend-a-game-of-necromancy,,7,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=7
Us Lovely Corpses,d Marie,"A girl, a monster, another girl, roses. The usual.",https://dmarielicea.itch.io/uslovelycorpses,"Windows, Linux, macOS",7,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=7
"I Have Low Stats But My Class Is ""Leader"", So I Recruited Everyone I Know To Fight The Dark Lord",CannibalInteractive,A comedy RPG where you play as 99 characters at once.,https://cannibalinteractive.itch.io/i-have-low-stats-but-my-class-is-leader-so-i-recruited-everyone-i-know,"Windows, macOS",7,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=7
Void Runner,VixMix,Teleport Through Obstacles In This Fast-Paced Infinite Runner,https://vixmix.itch.io/void-runner,Windows,7,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=7
Spooky Ghosts Dot Com,zertuk,"Ruby the ghost hunter has a tough gig this Halloween. Explore the mansion, battle spooky bosses, and rescue lost cats!",https://zertuk.itch.io/spooky-ghosts-dot-com,"Windows, Linux",7,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=7
Flufftopia,SmokeSomeFrogs,Clicker Game with Story,https://smokesomefrogs.itch.io/flufftopia,"Windows, Linux",8,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=8
The Boughs - A Campaign Setting,Sandy Pug Games,"An infinite forest, trees housing entire societies, and you, The Ranger, trying to keep the peace",https://sandypuggames.itch.io/the-boughs-a-dungeon-world-campaign-setting,,8,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=8
Lo-Fi Stellar Skirmish,KPD,A starship-themed asset pack!,https://kpdwyer.itch.io/lo-fi-stellar-skirmish,,8,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=8
Spectres of the Cold,Daniel Savage,Here I felt my flesh become the food of my fears.,https://danbolt.itch.io/spectres-of-the-cold,"Windows, Linux, macOS",8,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=8
Cardinal Chains,Daniel Nora,An original puzzle game about non-decreasing sequences,https://danijmn.itch.io/cardinalchains,"Windows, Linux, macOS",8,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=8
Play With Gilbert,Joure,Gilbert is a very curious cat who loves to go on adventures.,https://joure.itch.io/play-with-gilbert,Windows,8,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=8
BEACON,monothetic,Sci-fi Action Roguelite. Collect DNA from enemies and mutate yourself to victory!,https://monothetic.itch.io/beacon,Windows,8,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=8
Death? Preposterous! - A Non-violent RPG,Jay Ray Hawk,What happens when we die? Is death truly as it seems?,https://jayrayhawk.itch.io/dp,"Windows, Linux",8,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=8
Intrepid,Jambudd,You are an intrepid explorer hunting for artifacts. Can you survive? A little game for the archaeology bitsy jam.,https://jambudd.itch.io/intrepid,,8,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=8
Minit,Devolver Digital,Minit is a peculiar little adventure played sixty seconds at a time.,https://devolverdigital.itch.io/minit/download/ZXQqa7osAHcxIo48EK_DVV_cwl_4uGNqLbGQtB8Y,"Windows, Linux, macOS",8,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=8
El Interrogatorio,TwineDoctors,Ha llegado un nuevo caso a la comisaría y debes interrogar al principal sospechoso.,https://twinedoctors.itch.io/el-interrogatorio,,8,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=8
